ID,Sports,Interview Text,Speaker,Type,Labels,text_length,cleaned_text,tokens
140,Golf,I feel great right now.  What a beautiful day to play golf.  Braved the last two holes to kind of get myself back in the game.,ROSIE JONES,Individual,4,126,feel great right what beautiful day play golf braved last two hole kind get back game,"['feel', 'great', 'right', 'what', 'beautiful', 'day', 'play', 'golf', 'braved', 'last', 'two', 'hole', 'kind', 'get', 'back', 'game']"
141,Golf,I try not to watch my competitors anyway.  I try not to watch what they do all that much anyway.,BILLY MAYFAIR,Individual,1,96,try watch competitor anyway try watch what much anyway,"['try', 'watch', 'competitor', 'anyway', 'try', 'watch', 'what', 'much', 'anyway']"
142,Golf,"Probably so.  Actually he makes all sizes.  I know that my waist is a 30, but in his clothes I'm a 32, so it makes me feel a little bigger.",CHARLES HOWELL III,Individual,7,139,probably actually make size know waist clothes make feel little bigger,"['probably', 'actually', 'make', 'size', 'know', 'waist', 'clothes', 'make', 'feel', 'little', 'bigger']"
143,Baseball,"The field crew at University of Arizona, they were my best buds. Johnny O., he was the director, he still is today. And the mound was absolutely gorgeous, the grass, there wasn't one flaw. So definitely University of Arizona.",JENNIE FINCH,Team,7,225,field crew university arizona best bud johnny director still today mound absolutely gorgeous grass one flaw definitely university arizona,"['field', 'crew', 'university', 'arizona', 'best', 'bud', 'johnny', 'director', 'still', 'today', 'mound', 'absolutely', 'gorgeous', 'grass', 'one', 'flaw', 'definitely', 'university', 'arizona']"
144,Volleyball,"First, just congratulations to Minnesota on a great season. They're a great Team. We saw them early and they definitely presented some unique challenges.",KEVIN HAMBLY,Team,4,153,first congratulation minnesota great season great team saw early definitely presented unique challenge,"['first', 'congratulation', 'minnesota', 'great', 'season', 'great', 'team', 'saw', 'early', 'definitely', 'presented', 'unique', 'challenge']"
145,Cricket,Not really. We were just worrying about today. We knew that going in I guess there wasn't any reserve day. Hopefully the forecast changes. I've seen that happen before. And hopefully we get two really good semifinals in.,MEG LANNING,Team,6,220,really worrying today knew going guess reserve day hopefully forecast change seen happen hopefully get two really good semifinal,"['really', 'worrying', 'today', 'knew', 'going', 'guess', 'reserve', 'day', 'hopefully', 'forecast', 'change', 'seen', 'happen', 'hopefully', 'get', 'two', 'really', 'good', 'semifinal']"
146,Golf,You're obviously one of the leading players on the LET at the moment.  Does that put extra pressure on you coming in this week against players from America?,COLIN CALLANDER,Individual,4,156,obviously one leading player let moment put extra pressure coming week player america,"['obviously', 'one', 'leading', 'player', 'let', 'moment', 'put', 'extra', 'pressure', 'coming', 'week', 'player', 'america']"
147,Baseball,"Yeah, it's definitely uncharted territory. And I'm just trying to continue to do what I've tried to do all year, is just take it one day at a time and just listen to the body.",STEPHEN STRASBURG,Team,1,175,yeah definitely uncharted territory trying continue what tried year take one day time listen body,"['yeah', 'definitely', 'uncharted', 'territory', 'trying', 'continue', 'what', 'tried', 'year', 'take', 'one', 'day', 'time', 'listen', 'body']"
148,Baseball,"Yeah, because that's not coming from the players on the field. The players on the field, it's their job to guard against the players on the field. You can't guard against technology and players off the field.",JOE GIRARDI,Team,8,208,yeah coming player field player field job guard player field guard technology player field,"['yeah', 'coming', 'player', 'field', 'player', 'field', 'job', 'guard', 'player', 'field', 'guard', 'technology', 'player', 'field']"
149,Tennis,"Gee, this is a Lisa Raymond -- Natasha Zvereva press conference. I don't know. Frankly, I don't know. I don't think anything lacking. She is playing good.",NATASHA ZVEREVA,Individual,2,154,gee lisa raymond natasha zvereva press conference know frankly know think anything lacking playing good,"['gee', 'lisa', 'raymond', 'natasha', 'zvereva', 'press', 'conference', 'know', 'frankly', 'know', 'think', 'anything', 'lacking', 'playing', 'good']"
150,Tennis,I had injured it the Friday just before the Monday at San Diego the tournament practicing.  I would probably say it affects me most definitely running.  On my serve and my backhand.,MARY PIERCE,Individual,3,181,injured friday monday san diego tournament practicing would probably say affect definitely running serve backhand,"['injured', 'friday', 'monday', 'san', 'diego', 'tournament', 'practicing', 'would', 'probably', 'say', 'affect', 'definitely', 'running', 'serve', 'backhand']"
151,Baseball,"Well, right now, based on what the organization make the move, we hired -- they hired him, before I got here, to be the closer. So that's something that we have to talk about.",CARLOS BELTRAN,Team,7,175,well right based what organization make move hired hired got closer something talk,"['well', 'right', 'based', 'what', 'organization', 'make', 'move', 'hired', 'hired', 'got', 'closer', 'something', 'talk']"
152,Baseball,"Yeah, I appreciate the question. I think a lot -- people have spoken on this. I've spoken on this, I addressed it right away. Jeff just spoke.",AJ HINCH,Team,8,142,yeah appreciate question think lot people spoken spoken addressed right away jeff spoke,"['yeah', 'appreciate', 'question', 'think', 'lot', 'people', 'spoken', 'spoken', 'addressed', 'right', 'away', 'jeff', 'spoke']"
153,Volleyball,"The key for them is clearly Plummer. If she's good, then that creates space for everyone else. Everyone else can take a little breath. If they have to lean on everyone else, it gets a little bit different.",HUGH MCCUTCHEON,Team,5,205,key clearly plummer good creates space everyone else everyone else take little breath lean everyone else get little bit different,"['key', 'clearly', 'plummer', 'good', 'creates', 'space', 'everyone', 'else', 'everyone', 'else', 'take', 'little', 'breath', 'lean', 'everyone', 'else', 'get', 'little', 'bit', 'different']"
154,Baseball,"We're excited to have with us a number of players who were named to the first and second Teams. Join me in welcoming the All-MLB second Team, designated hitter of the Houston Astros, Yordan Alvarez is with us.",GREG AMSINGER,Team,7,209,excited number player who named first second team join welcoming allmlb second team designated hitter houston astros yordan alvarez,"['excited', 'number', 'player', 'who', 'named', 'first', 'second', 'team', 'join', 'welcoming', 'allmlb', 'second', 'team', 'designated', 'hitter', 'houston', 'astros', 'yordan', 'alvarez']"
155,Cricket,"I think I will not miss cricket -- I mean, I'll be involved because I can't stay away from this. And somehow I'll be involved with cricket.",SHASHIKALA SIRIWARDENE,Team,7,139,think miss cricket mean involved stay away somehow involved cricket,"['think', 'miss', 'cricket', 'mean', 'involved', 'stay', 'away', 'somehow', 'involved', 'cricket']"
156,Hockey,"You know, I can't say we practice it a ton.  We talk about power play, that sort of thing.  Then defending also I think is something we cover and talk about.",RYAN O'REILLY,Team,1,157,know say practice ton talk power play sort thing defending also think something cover talk,"['know', 'say', 'practice', 'ton', 'talk', 'power', 'play', 'sort', 'thing', 'defending', 'also', 'think', 'something', 'cover', 'talk']"
157,Golf,"  I think I definitely left  -- I did yesterday, as well.  You know, one of my  -- one of my things about this golf course is that I just don't read those greens well.",BETH DANIEL,Individual,4,167,think definitely left yesterday well know one one thing golf course read green well,"['think', 'definitely', 'left', 'yesterday', 'well', 'know', 'one', 'one', 'thing', 'golf', 'course', 'read', 'green', 'well']"
158,Golf,"  Yeah, so coming from KPMG I was extremely happy with my long game from tee to green, but the putts were not really dropping that week.",PERNILLA LINDBERG,Individual,2,136,yeah coming kpmg extremely happy long game tee green putt really dropping week,"['yeah', 'coming', 'kpmg', 'extremely', 'happy', 'long', 'game', 'tee', 'green', 'putt', 'really', 'dropping', 'week']"
159,Golf,"  Is that aggressive?  (Laughs.) No, I think I played pretty well.  I'm getting it in the fairway, and then I really hit some good iron shots today.",KARRIE WEBB,Individual,4,148,aggressive laugh think played pretty well getting fairway really hit good iron shot today,"['aggressive', 'laugh', 'think', 'played', 'pretty', 'well', 'getting', 'fairway', 'really', 'hit', 'good', 'iron', 'shot', 'today']"
160,Baseball,Very happy with the home run. Obviously today all my Teammates were saying today is your day. Today is your day. And it happened so obviously very happy about it.,YORDAN ALVAREZ,Team,5,162,happy home run obviously today teammate saying today day today day happened obviously happy,"['happy', 'home', 'run', 'obviously', 'today', 'teammate', 'saying', 'today', 'day', 'today', 'day', 'happened', 'obviously', 'happy']"
161,Tennis," I think I was very tired -- I was tired because I have been all the week with diarrhea, because the food here is not very good for me.  I was very tired, the whole match.",SERGI BRUGUERA,Individual,2,171,think tired tired week diarrhea food good tired whole match,"['think', 'tired', 'tired', 'week', 'diarrhea', 'food', 'good', 'tired', 'whole', 'match']"
162,Tennis," Yeah, a big surprise.  I was really surprised about; especially Jennifer yesterday.  I knew she had a tough match yesterday.  It wasn't going to be easy, but I didn't think she was going to lose.",GABRIELA SABATINI,Individual,4,196,yeah big surprise really surprised especially jennifer yesterday knew tough match yesterday going easy think going lose,"['yeah', 'big', 'surprise', 'really', 'surprised', 'especially', 'jennifer', 'yesterday', 'knew', 'tough', 'match', 'yesterday', 'going', 'easy', 'think', 'going', 'lose']"
163,Golf," When the rankings were first released, she was ranked third.  I think any time you have a prominent player, there's always discussion.  Anyone who you ask, whether there's resistance or discussion, that's up for debate.",CHRIS HIGGS,Individual,7,220,when ranking first released ranked third think time prominent player always discussion anyone who ask whether resistance discussion debate,"['when', 'ranking', 'first', 'released', 'ranked', 'third', 'think', 'time', 'prominent', 'player', 'always', 'discussion', 'anyone', 'who', 'ask', 'whether', 'resistance', 'discussion', 'debate']"
164,Football,"I think it affected our Team.  You know, I think collectively a lot of things affected our Team.  I do think that affected our Team.",MIKE LEACH,Team,4,132,think affected team know think collectively lot thing affected team think affected team,"['think', 'affected', 'team', 'know', 'think', 'collectively', 'lot', 'thing', 'affected', 'team', 'think', 'affected', 'team']"
165,Golf,We started on the back nine and I started off hitting a 5-iron in there probably 18 feet from the hole and knocked it in for birdie.,LOREN ROBERTS,Individual,1,132,started back nine started hitting iron probably foot hole knocked birdie,"['started', 'back', 'nine', 'started', 'hitting', 'iron', 'probably', 'foot', 'hole', 'knocked', 'birdie']"
166,Tennis," He was serving for the match at 5-1.  He was Love-all; he had hit a smash wide, real wide, and it was- -",WALLY MASUR,Individual,2,105,serving match loveall hit smash wide real wide,"['serving', 'match', 'loveall', 'hit', 'smash', 'wide', 'real', 'wide']"
167,Golf," You know, that's a hard question to answer simply because you haven't replaced it with another event.  The answer would probably be yes, I would have played, and I would have taken the  same approach.",DAVID DUVAL,Individual,1,201,know hard question answer simply replaced another event answer would probably yes would played would taken approach,"['know', 'hard', 'question', 'answer', 'simply', 'replaced', 'another', 'event', 'answer', 'would', 'probably', 'yes', 'would', 'played', 'would', 'taken', 'approach']"
168,Hockey,"It was tough for him, first game back.  That's a big game.  Obviously they didn't get a whole lot of time up there, so it's hard to evaluate it that much.",CRAIG BERUBE,Team,4,154,tough first game back big game obviously get whole lot time hard evaluate much,"['tough', 'first', 'game', 'back', 'big', 'game', 'obviously', 'get', 'whole', 'lot', 'time', 'hard', 'evaluate', 'much']"
169,Lacrosse,"Sure, I'm appreciative that the officials allowed it to be an aggressive game and they allowed big, physical contact to happen.",LARS TIFFANY,Team,8,127,sure appreciative official allowed aggressive game allowed big physical contact happen,"['sure', 'appreciative', 'official', 'allowed', 'aggressive', 'game', 'allowed', 'big', 'physical', 'contact', 'happen']"
170,Football,"  Well, you know, I don't think I was consciously thinking about the game at that time, but you pick up things if you're an independent kid.",JOSH HEUPEL,Team,7,140,well know think consciously thinking game time pick thing independent kid,"['well', 'know', 'think', 'consciously', 'thinking', 'game', 'time', 'pick', 'thing', 'independent', 'kid']"
171,Golf," We have world No. 1, Annika Sorenstam, the recent winner of the U.S. Women's Open and also the lady who won here in 2003.  There must be some good memories you have here.",COLIN CALLANDER,Individual,7,171,world annika sorenstam recent winner yous woman open also lady who must good memory,"['world', 'annika', 'sorenstam', 'recent', 'winner', 'yous', 'woman', 'open', 'also', 'lady', 'who', 'must', 'good', 'memory']"
172,Basketball,"  Well, start off with our Captain, Sue Bird, just leading us and it goes from the starting five all the way down to the players on the bench as well.",NATASHA HOWARD,Team,5,150,well start captain sue bird leading starting five way player bench well,"['well', 'start', 'captain', 'sue', 'bird', 'leading', 'starting', 'five', 'way', 'player', 'bench', 'well']"
173,Golf,"  I'm sure she is.  They're both great.  Pat was a pod captain last year too so I got to know her pretty well.  Yeah, they're both just great.",BRITTANY ALTOMARE,Individual,7,142,sure great pat pod captain last year got know pretty well yeah great,"['sure', 'great', 'pat', 'pod', 'captain', 'last', 'year', 'got', 'know', 'pretty', 'well', 'yeah', 'great']"
174,Football,I don't know that it's been a bit of a struggle and I think some of what's been identified as a struggle is explosive displays compared to what some of our Teams have done in the past.,MIKE LEACH,Team,8,184,know bit struggle think what identified struggle explosive display compared what team done past,"['know', 'bit', 'struggle', 'think', 'what', 'identified', 'struggle', 'explosive', 'display', 'compared', 'what', 'team', 'done', 'past']"
175,Football,"Yes, we missed him in the first half and any conversations I have with him on whether he's coming back or what he's doing I will share with him and probably not anybody in here.",MIKE LEACH,Team,8,177,yes missed first half conversation whether coming back what share probably anybody,"['yes', 'missed', 'first', 'half', 'conversation', 'whether', 'coming', 'back', 'what', 'share', 'probably', 'anybody']"
176,Tennis,Today I went to the net a lot.  I felt very good.  There are going to be players where I am going to have to come in more.  I am working on that.  It is much better.,GABRIELA SABATINI,Individual,1,165,today went net lot felt good going player where going come working much better,"['today', 'went', 'net', 'lot', 'felt', 'good', 'going', 'player', 'where', 'going', 'come', 'working', 'much', 'better']"
177,Golf,"  You know, weather is really good and golf course is really good condition right now, so everybody -- I know everybody play well starting weekend, right?",CHELLA CHOI,Individual,6,154,know weather really good golf course really good condition right everybody know everybody play well starting weekend right,"['know', 'weather', 'really', 'good', 'golf', 'course', 'really', 'good', 'condition', 'right', 'everybody', 'know', 'everybody', 'play', 'well', 'starting', 'weekend', 'right']"
178,Football," I think size-wise, they compare to Nebraska close enough, their center is about the same size, the way their tackles would be, physical.  Just the quickness of the center, I'd say probably the most they compare to is Nebraska.",RYAN FISHER,Team,7,227,think sizewise compare nebraska close enough center size way tackle would physical quickness center would say probably compare nebraska,"['think', 'sizewise', 'compare', 'nebraska', 'close', 'enough', 'center', 'size', 'way', 'tackle', 'would', 'physical', 'quickness', 'center', 'would', 'say', 'probably', 'compare', 'nebraska']"
179,Baseball,"  Lopez?  Yeah, I've faced him plenty of times, yeah, when he was with the Indians and this year with the Devil Rays.  He's a pitcher that comes right at you and I was looking to get at it right away.",CHUCK KNOBLAUCH,Team,7,200,lopez yeah faced plenty time yeah when indian year devil ray pitcher come right looking get right away,"['lopez', 'yeah', 'faced', 'plenty', 'time', 'yeah', 'when', 'indian', 'year', 'devil', 'ray', 'pitcher', 'come', 'right', 'looking', 'get', 'right', 'away']"
180,Baseball,"We have a really good Team. We have a lot of good things going. We have -- we're trying to build the 2020 Team. Our energy's been spent on that. Obviously, it's been a different off-season for us.",AJ HINCH,Team,5,196,really good team lot good thing going trying build team energy spent obviously different offseason,"['really', 'good', 'team', 'lot', 'good', 'thing', 'going', 'trying', 'build', 'team', 'energy', 'spent', 'obviously', 'different', 'offseason']"
181,Basketball,"  Well, there's not uncertainty in my mind with LeBron James.  And [when] I took the job, we didn't have Anthony Davis.  We didn't have the whole Team.  It was a different Team after the fact.",FRANK VOGEL,Team,7,192,well uncertainty mind lebron james when took job anthony davis whole team different team fact,"['well', 'uncertainty', 'mind', 'lebron', 'james', 'when', 'took', 'job', 'anthony', 'davis', 'whole', 'team', 'different', 'team', 'fact']"
182,Golf," I think it's just work has been paying off and I did good last year, I just didn't have any wins.  But I was playing good.",GWLADYS NOCERA,Individual,2,123,think work paying good last year win playing good,"['think', 'work', 'paying', 'good', 'last', 'year', 'win', 'playing', 'good']"
183,Cricket,There's no doubt there's been a lot more time going into data and watching games. And there's so much footage now these days that you can't really hide.,MEG LANNING,Team,1,152,doubt lot time going data watching game much footage day really hide,"['doubt', 'lot', 'time', 'going', 'data', 'watching', 'game', 'much', 'footage', 'day', 'really', 'hide']"
184,Tennis," Yeah, sure, she was.  She was making some doublefaults or easy volley mistakes and -- I mean, she is always a little bit nervous when it is getting close.  Yeah, she was, definitely.",BARBARA RITTNER,Individual,2,183,yeah sure making doublefaults easy volley mistake mean always little bit nervous when getting close yeah definitely,"['yeah', 'sure', 'making', 'doublefaults', 'easy', 'volley', 'mistake', 'mean', 'always', 'little', 'bit', 'nervous', 'when', 'getting', 'close', 'yeah', 'definitely']"
185,Cricket,"Look, we know we're a great fielding unit. We normally have one of those games somewhere along the line. I'm just happy it's gone now, and I know the Team is going to do better next time.",LIZELLE LEE,Team,4,187,look know great fielding unit normally one game somewhere along line happy gone know team going better next time,"['look', 'know', 'great', 'fielding', 'unit', 'normally', 'one', 'game', 'somewhere', 'along', 'line', 'happy', 'gone', 'know', 'team', 'going', 'better', 'next', 'time']"
186,Baseball,"But Yadi can hit anywhere. Hit second for us, third, fourth, fifth. He can hit anywhere because Yadi has an approach, and so he's going to be productive.",MIKE SHILDT,Team,2,153,yadi hit anywhere hit second third fourth fifth hit anywhere yadi approach going productive,"['yadi', 'hit', 'anywhere', 'hit', 'second', 'third', 'fourth', 'fifth', 'hit', 'anywhere', 'yadi', 'approach', 'going', 'productive']"
187,Baseball,I'm living the dream. I know this is a big opportunity for me. It's a big year for me. And I'm going to do my best every outing and enjoy the time.,JOSE URQUIDY,Team,5,147,living dream know big opportunity big year going best every outing enjoy time,"['living', 'dream', 'know', 'big', 'opportunity', 'big', 'year', 'going', 'best', 'every', 'outing', 'enjoy', 'time']"
188,Golf,Feel really good.  I was just thinking like I don't want to discredit my round just because I played a couple bad holes towards the end of the day.,ALLY MCDONALD,Individual,5,147,feel really good thinking like want discredit round played couple bad hole towards end day,"['feel', 'really', 'good', 'thinking', 'like', 'want', 'discredit', 'round', 'played', 'couple', 'bad', 'hole', 'towards', 'end', 'day']"
189,Volleyball,"I thought we were disciplined. We weren't trying to do so much. I think when we've gone back and we watch how we defended her in the past, I thought it looked like a very undisciplined, poor-coached Team.",KELLY SHEFFIELD,Team,8,204,thought disciplined trying much think when gone back watch how defended past thought looked like undisciplined poorcoached team,"['thought', 'disciplined', 'trying', 'much', 'think', 'when', 'gone', 'back', 'watch', 'how', 'defended', 'past', 'thought', 'looked', 'like', 'undisciplined', 'poorcoached', 'team']"
190,Basketball,"  I mean, it definitely is a high percentage if I have a few days.  But like I said, I'm making some progress, then some days I'm the same.  We'll see.  We'll see.",GORAN DRAGIC,Team,6,163,mean definitely high percentage day like said making progress day see see,"['mean', 'definitely', 'high', 'percentage', 'day', 'like', 'said', 'making', 'progress', 'day', 'see', 'see']"
191,Golf,Just I think my game just is finally coming together.  I'm really comfortable my swing.  My PXG equipment has been working fantastic for me.,MINA HARIGAE,Individual,2,140,think game finally coming together really comfortable swing pxg equipment working fantastic,"['think', 'game', 'finally', 'coming', 'together', 'really', 'comfortable', 'swing', 'pxg', 'equipment', 'working', 'fantastic']"
192,Baseball,"Yeah, it definitely helps when you can get -- see their bullpen. This way you know in a long series like that you know who you're going to face, if you face them again, and what they have.",DAVE MARTINEZ,Team,4,188,yeah definitely help when get see bullpen way know long series like know who going face face what,"['yeah', 'definitely', 'help', 'when', 'get', 'see', 'bullpen', 'way', 'know', 'long', 'series', 'like', 'know', 'who', 'going', 'face', 'face', 'what']"
193,Baseball,"Yeah, I talked to him a little bit in Houston. A lot of guys who I've played with, we've gone through a couple of levels here and being able to play against somebody else, it's great.",PATRICK CORBIN,Team,4,183,yeah talked little bit houston lot guy who played gone couple level able play somebody else great,"['yeah', 'talked', 'little', 'bit', 'houston', 'lot', 'guy', 'who', 'played', 'gone', 'couple', 'level', 'able', 'play', 'somebody', 'else', 'great']"
194,Golf,"I started on 1, so first hole I hit a sand wedge about a foot, got it in my range.  I hit a 9-iron about two feet.",BRANDT JOBE,Individual,2,114,started first hole hit sand wedge foot got range hit iron two foot,"['started', 'first', 'hole', 'hit', 'sand', 'wedge', 'foot', 'got', 'range', 'hit', 'iron', 'two', 'foot']"
195,Baseball,"No, we're trying to win today's game. I'll empty my own tank. There's certainly a couple of guys that I'm not going to use; Greinke and Cole. But we're trying to win today's game.",AJ HINCH,Team,5,179,trying win today game empty tank certainly couple guy going use greinke cole trying win today game,"['trying', 'win', 'today', 'game', 'empty', 'tank', 'certainly', 'couple', 'guy', 'going', 'use', 'greinke', 'cole', 'trying', 'win', 'today', 'game']"
196,Hockey,I know what the boards feel like (laughter).  I was a little bit confused where he was.  It was six-on-five.  You're just trying to find a spot to stand.  I was tired so I parked it in front.,ALEX PIETRANGELO,Team,1,191,know what board feel like laughter little bit confused where sixonfive trying find spot stand tired parked front,"['know', 'what', 'board', 'feel', 'like', 'laughter', 'little', 'bit', 'confused', 'where', 'sixonfive', 'trying', 'find', 'spot', 'stand', 'tired', 'parked', 'front']"
197,Lacrosse,"To talk about what Matt was saying and his lacrosse IQ, it was in the fall last year, it was freshmen fall.",BEN REEVES,Team,7,107,talk what matt saying lacrosse fall last year freshman fall,"['talk', 'what', 'matt', 'saying', 'lacrosse', 'fall', 'last', 'year', 'freshman', 'fall']"
198,Baseball,"Every off-season we go through our baseball operations policies. Sign stealing was a big focus during the off-season last year, and I expect it will be this year as well.",ROB MANFRED,Team,7,170,every offseason baseball operation policy sign stealing big focus offseason last year expect year well,"['every', 'offseason', 'baseball', 'operation', 'policy', 'sign', 'stealing', 'big', 'focus', 'offseason', 'last', 'year', 'expect', 'year', 'well']"
199,Baseball,"Yeah, he's in the clubhouse now. He's going to get treatment. He's going to do everything he can to try to get ready.",DAVE MARTINEZ,Team,3,117,yeah clubhouse going get treatment going everything try get ready,"['yeah', 'clubhouse', 'going', 'get', 'treatment', 'going', 'everything', 'try', 'get', 'ready']"
200,Tennis," I have played Sampras at Wimbledon this year, and that was a big match for me.  I didn't play too bad.  I played a few other guys.",NEIL BORWICK,Individual,4,131,played sampras wimbledon year big match play bad played guy,"['played', 'sampras', 'wimbledon', 'year', 'big', 'match', 'play', 'bad', 'played', 'guy']"
201,Hockey,"It's amazing to see.  This is a hockey town.  They've been with us through the ups and downs.  They're excited.  This is something new and special, and they're a big part of it, a big piece of it.",RYAN O'REILLY,Team,7,196,amazing see hockey town ups down excited something new special big part big piece,"['amazing', 'see', 'hockey', 'town', 'ups', 'down', 'excited', 'something', 'new', 'special', 'big', 'part', 'big', 'piece']"
202,Auto Racing,I think you heard Erik say in the previous interview there would probably be even more wrecks. We certainly don't need more wrecks than what we saw today. Probably not.,SCOTT MILLER,Blended,8,168,think heard erik say previous interview would probably even wreck certainly need wreck what saw today probably,"['think', 'heard', 'erik', 'say', 'previous', 'interview', 'would', 'probably', 'even', 'wreck', 'certainly', 'need', 'wreck', 'what', 'saw', 'today', 'probably']"
203,Football,I think everybody is excited about the game.  They have enjoyed their experience and they are going to be ready to play.,JOSH HEUPEL,Team,5,120,think everybody excited game enjoyed experience going ready play,"['think', 'everybody', 'excited', 'game', 'enjoyed', 'experience', 'going', 'ready', 'play']"
204,Baseball,"I think you're always looking for pitching. I don't know that you ever have enough. I don't know. We'll see what's out there, see whatever. But like I say, I don't think you can ever have enough starting pitchers.",BRIAN SNITKER,Team,8,213,think always looking pitching know ever enough know see what see whatever like say think ever enough starting pitcher,"['think', 'always', 'looking', 'pitching', 'know', 'ever', 'enough', 'know', 'see', 'what', 'see', 'whatever', 'like', 'say', 'think', 'ever', 'enough', 'starting', 'pitcher']"
205,Baseball,"It's a little different than our old stadium, it's got some jagged edges around the outfield. It's going to take some time.",CHRIS WOODWARD,Team,5,123,little different old stadium got jagged edge around outfield going take time,"['little', 'different', 'old', 'stadium', 'got', 'jagged', 'edge', 'around', 'outfield', 'going', 'take', 'time']"
206,Baseball, You probably are not going to see us two doing a Stance Little League Clinic.  We are probably the two worst guys you would want to have your kids going up there and hitting like.  (Laughter.),LUIS GONZALEZ,Team,7,193,probably going see two stance little league clinic probably two worst guy would want kid going hitting like laughter,"['probably', 'going', 'see', 'two', 'stance', 'little', 'league', 'clinic', 'probably', 'two', 'worst', 'guy', 'would', 'want', 'kid', 'going', 'hitting', 'like', 'laughter']"
207,Hockey,"Yeah, I mean, of course you want to win every game.  I think if you think you're going to sweep every Team or the games that are left, I think you're maybe in a fantasy world.",JOAKIM NORDSTROM,Team,5,175,yeah mean course want win every game think think going sweep every team game left think maybe fantasy world,"['yeah', 'mean', 'course', 'want', 'win', 'every', 'game', 'think', 'think', 'going', 'sweep', 'every', 'team', 'game', 'left', 'think', 'maybe', 'fantasy', 'world']"
208,Football,"It would be great for us, great for the Team, great for him.  He's locked in, laser like focus going into this ballgame and practicing well, preparing really well.  Not going to let himself get beat in this game.",JIM HARBAUGH,Team,2,212,would great great team great locked laser like focus going ballgame practicing well preparing really well going let get beat game,"['would', 'great', 'great', 'team', 'great', 'locked', 'laser', 'like', 'focus', 'going', 'ballgame', 'practicing', 'well', 'preparing', 'really', 'well', 'going', 'let', 'get', 'beat', 'game']"
209,Golf,"  Yes.  Definitely got a lot of congratulations from Mike Whan, for example.  He texted me right after the third round last week, so that felt really special.",MATILDA CASTREN,Individual,7,158,yes definitely got lot congratulation mike whan example texted right third round last week felt really special,"['yes', 'definitely', 'got', 'lot', 'congratulation', 'mike', 'whan', 'example', 'texted', 'right', 'third', 'round', 'last', 'week', 'felt', 'really', 'special']"
210,Golf,"  So I been working more on like short game and bunker play and putting as well.  Putting obviously has been paying off.  Short game, not so much so far.  That can change this week.",LINDSEY WEAVER,Individual,1,181,working like short game bunker play putting well putting obviously paying short game much far change week,"['working', 'like', 'short', 'game', 'bunker', 'play', 'putting', 'well', 'putting', 'obviously', 'paying', 'short', 'game', 'much', 'far', 'change', 'week']"
211,Baseball,I've been texting him. We've been trying to call and missing each other. He's been hunting in Ohio and somewhere else.,JOE MADDON,Team,7,118,texting trying call missing hunting ohio somewhere else,"['texting', 'trying', 'call', 'missing', 'hunting', 'ohio', 'somewhere', 'else']"
212,Golf," No, I actually got a wild card.  I received an invitation to play Doral as kind of a home player, I live only an hour north of Doral.",MATHIAS GR?NBERG,Individual,6,134,actually got wild card received invitation play doral kind home player live hour north doral,"['actually', 'got', 'wild', 'card', 'received', 'invitation', 'play', 'doral', 'kind', 'home', 'player', 'live', 'hour', 'north', 'doral']"
213,Basketball,We had three-hour training camp practice yesterday (laughing).  It's just prep.  Normal prep in between games.  Our guys are ready.,ERIK SPOELSTRA,Team,6,131,threehour training camp practice yesterday laughing prep normal prep game guy ready,"['threehour', 'training', 'camp', 'practice', 'yesterday', 'laughing', 'prep', 'normal', 'prep', 'game', 'guy', 'ready']"
214,Golf,  Have you ever played in a tournament and the location was so beautiful that you decided to come back for a vacation?  Is Lake Oconee going to be one of your new vacation spots?,OPHELIA BUNUEL,Individual,7,178,ever played tournament location beautiful decided come back vacation lake oconee going one new vacation spot,"['ever', 'played', 'tournament', 'location', 'beautiful', 'decided', 'come', 'back', 'vacation', 'lake', 'oconee', 'going', 'one', 'new', 'vacation', 'spot']"
215,Baseball,"Maybe a chip. I think when you play some of the Teams we play in our division so much, it's probably best not to seen think about it. Using it as ray positive or a negative, just go play.",KEVIN CASH,Team,5,187,maybe chip think when play team play division much probably best seen think using ray positive negative play,"['maybe', 'chip', 'think', 'when', 'play', 'team', 'play', 'division', 'much', 'probably', 'best', 'seen', 'think', 'using', 'ray', 'positive', 'negative', 'play']"
216,Tennis, He was -- it was his back because I saw him in the locker room it was his back.  Which probably coming from the serve.,ANREI MEDVEDEV,Individual,3,119,back saw locker room back probably coming serve,"['back', 'saw', 'locker', 'room', 'back', 'probably', 'coming', 'serve']"
217,Golf," We have by far and away the No. 1 player from the Ladies European Tour, Gwladys Nocera.  You've won three times and you're obviously got to be fairly confident coming in.",COLIN CALLANDER,Individual,2,171,far away player lady european tour gwladys nocera three time obviously got fairly confident coming,"['far', 'away', 'player', 'lady', 'european', 'tour', 'gwladys', 'nocera', 'three', 'time', 'obviously', 'got', 'fairly', 'confident', 'coming']"
218,Basketball,"  Yeah, again, we're our own worst enemy sometimes.  Our turnovers tonight really hurt us badly, unforced turnovers.  We're in a good position.  They're a very fine basketball Team and you can't make those kind of blunders against them.",BILL LAIMBEER,Team,4,236,yeah worst enemy sometimes turnover tonight really hurt badly unforced turnover good position fine basketball team make kind blunder,"['yeah', 'worst', 'enemy', 'sometimes', 'turnover', 'tonight', 'really', 'hurt', 'badly', 'unforced', 'turnover', 'good', 'position', 'fine', 'basketball', 'team', 'make', 'kind', 'blunder']"
